dataset,n_models,models_used,smape_mean,smape_median,smape_fi_avg,smape_stack_svr
M101,7,mlp_knn_svr_arima_ets_theta_tbats,7.93916357745756,8.08814736164181,8.284101866320906,7.166963229608347
M101,7,rf_svr_arima_ets_theta_tbats_ces,7.292155314534006,7.335501938677023,9.038025906251361,7.165707424958444
M101,7,rf_mlp_knn_ets_theta_tbats_ces,7.7964433079474995,7.273671634277696,9.004784323199896,7.166937812351269
M101,7,rf_mlp_knn_svr_arima_ets_tbats,8.617185197295607,9.455542739233536,9.239267691393811,7.166938265707298
M101,7,rf_mlp_knn_arima_ets_tbats_ces,8.33790722797079,8.174324090850577,9.113307788661885,7.166937384254683
M101,7,rf_knn_svr_arima_ets_theta_ces,7.883861170168731,8.1204306217066,8.993255405450173,7.16684582569652
M101,7,rf_knn_svr_arima_theta_tbats_ces,7.592558840040373,8.1204306217066,9.010790362833054,7.1668966272516785
M101,7,rf_mlp_knn_svr_arima_theta_tbats,8.321372566875372,9.455542739233536,9.190852026170736,7.166939308430625
M101,7,rf_mlp_svr_arima_theta_tbats_ces,8.065677387322118,8.063369264625143,9.116275924748201,7.166939107154781
M101,7,rf_mlp_knn_svr_ets_theta_tbats,8.072431406351953,9.39142058862875,9.047020908469744,7.166939186782259
M101,7,rf_mlp_svr_arima_ets_theta_tbats,8.006069382533639,8.066335769621523,9.104011907177794,7.166939484613375
M101,7,rf_mlp_knn_arima_ets_theta_ces,8.33790722797079,8.174324090850577,9.144981582919593,7.166937384254683
M101,7,rf_knn_svr_ets_theta_tbats_ces,7.37313084632739,7.278948606726566,8.914752402613022,7.16686649262178
M101,7,rf_knn_svr_arima_ets_theta_tbats,7.533536123527737,8.069154262205009,8.973575900713982,7.166693777426006
M101,7,mlp_knn_arima_ets_theta_tbats_ces,7.673685343718977,7.273671634277696,7.726729627124568,7.166958934533935
M101,7,rf_mlp_knn_arima_ets_theta_tbats,7.9843106955302545,8.117101805956477,9.078310411067797,7.166937308974158
M101,7,mlp_knn_svr_arima_ets_tbats_ces,8.266822921200953,8.141065235652247,8.025604872903921,7.1667064338348725
M101,7,rf_mlp_knn_svr_ets_tbats_ces,8.426797937536316,9.442696948130342,9.150529846719051,7.166938974797386
M101,7,mlp_knn_svr_ets_theta_tbats_ces,7.797613060095776,7.278948606726566,7.828140755389207,7.166885368143654
M101,7,rf_mlp_arima_ets_theta_tbats_ces,7.734415826938985,7.3308939191718,9.05899885823388,7.166936993680576
M101,7,rf_mlp_knn_svr_arima_ets_theta,8.617185197295607,9.455542739233536,9.249979158725283,7.166938265707298
M101,7,rf_mlp_svr_arima_ets_tbats_ces,8.425344216994043,8.063369264625143,9.1415191923675,7.166938674418777
M101,7,mlp_knn_svr_arima_ets_theta_ces,8.266822921200953,8.141065235652247,8.077889072083288,7.1667064338348725
M101,7,rf_mlp_knn_svr_arima_tbats_ces,8.689467613466368,9.457853206686023,9.136395370645044,7.166939201464584
M101,7,rf_knn_svr_arima_ets_tbats_ces,7.883861170168731,8.1204306217066,9.046439177184315,7.16684582569652
M101,7,rf_mlp_knn_svr_arima_ets_ces,9.06110181423452,9.457853206686023,9.309847430159378,7.166938868744601
M101,7,rf_mlp_knn_arima_theta_tbats_ces,8.0438837723163,8.174324090850577,8.995039682233784,7.166938522769193
M101,7,rf_mlp_svr_ets_theta_tbats_ces,7.832955386309067,7.335501938677023,9.054067989737359,7.166574350028824
M101,7,mlp_knn_svr_arima_theta_tbats_ces,7.984046638839805,8.141065235652247,7.948310140807788,7.166994960466817
M101,7,rf_mlp_knn_svr_theta_tbats_ces,8.132133904693852,9.442696948130342,9.042543631615201,7.1669392476687275
M101,7,rf_mlp_knn_svr_arima_theta_ces,8.689467613466368,9.457853206686023,9.139860088682788,7.166939201464584
M101,7,rf_knn_arima_ets_theta_tbats_ces,7.261315744204547,7.273671634277696,8.923667853597978,7.166615349472777
M101,7,mlp_svr_arima_ets_theta_tbats_ces,7.7187878852085525,7.337143453185871,7.694358931677471,7.169399423525308
M101,7,rf_mlp_knn_svr_ets_theta_ces,8.426797937536316,9.442696948130342,9.102756811340043,7.166938974797386
M101,7,knn_svr_arima_ets_theta_tbats_ces,7.257090495925618,7.278948606726566,7.5890426524869605,7.166883656627338
M101,6,rf_mlp_knn_svr_arima_ets,9.403316666137632,9.752077067768136,9.858380124526365,7.166913511395714
M101,6,mlp_knn_svr_arima_ets_theta,8.440765248715623,8.682257890736231,8.483301395521178,7.166521020248368
M101,6,mlp_knn_ets_theta_tbats_ces,7.588137090364507,7.034481681666782,7.754972374846054,7.166696499789451
M101,6,mlp_knn_svr_arima_tbats_ces,8.510935775363565,8.730215748213396,8.182076164951868,7.166706432932671
M101,6,rf_mlp_svr_arima_ets_tbats,8.655215208321824,8.838311757096886,9.279823577197211,7.166939484613375
M101,6,rf_knn_svr_theta_tbats_ces,7.455062645714576,8.122705250410839,8.970886053000216,7.1668664913344005
M101,6,rf_mlp_knn_svr_arima_ces,9.507746051519275,9.774764095923246,9.363605405787226,7.166938868733844
